"filename", "language", "C++", "Markdown", "YAML", "Dart", "HTML", "Batch", "Properties", "Groovy", "Swift", "JSON", "XML", "Java", "comment", "blank", "total"
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 5, 13, 72
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 1, 9
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 6, 2, 42
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/src/main/java/io/flutter/plugins/GeneratedPluginRegistrant.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 5, 4, 70
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 1, 9
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/gradlew.bat", "Batch", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 25, 91
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/local.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 123
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/ios/Runner/Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/acceleration/acceleration.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/animations/animations.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/fileaccess/fileaccess.dart", "Dart", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 97
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/fingerprint/fingerprint.dart", "Dart", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 70
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/gestures/gestures.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/hardwarefunctions/camera.dart", "Dart", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 19, 16, 127
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/inputmethods/inputmethods.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/interactiondesign/interactiondesign.dart", "Dart", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 131
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/location/location.dart", "Dart", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 99
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/main.dart", "Dart", 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 156
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/multimedia/multimedia.dart", "Dart", 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 156
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/navigation/navigation.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 78
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/networkcall/networkcall.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 62
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/objects/objects.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/performance/performance.dart", "Dart", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 91
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/persistence/persistence.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 62
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/uiux/androidelements.dart", "Dart", 0, 0, 0, 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 250
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/uiux/ioselements.dart", "Dart", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 91
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/uiux/uielements.dart", "Dart", 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 197
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/linux/flutter/generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/linux/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/linux/main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/linux/my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/linux/my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 4, 19
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 1, 69
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/pubspec.yaml", "YAML", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 14, 110
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/test/widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/web/index.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 16, 6, 59
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/flutter/generated_plugin_registrant.cc", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/runner/flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/runner/flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/runner/main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/runner/resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/runner/utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/runner/utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/runner/win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"/Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/windows/runner/win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 508, 13, 39, 1636, 37, 66, 13, 89, 44, 248, 472, 61, 327, 497, 4050